KABE,ABE,Lehigh Valley International Airport
KACY,ACY,Atlantic City International Airport
KAEX,AEX,Alexandria International Airport
KAFW,AFW,Fort Worth Alliance Airport
KAUS,AUS,Austin-Bergstrom International Airport
KATL,ATL,Hartsfield-Jackson Atlanta International Airport
KBFD,BFD,Bradford Regional Airport
KBDL,BDL,Bradley International Airport
KBFI,BFI,Boeing Field King County International Airport
KBIF,BIF,Biggs Army Airfield
KBWI,BWI,Baltimore/Washington International Thurgood Marshall Airport
KCHS,CHS,Joint Base Charleston
KCLT,CLT,Charlotte Douglas International Airport
KCLE,CLE,Cleveland Hopkins International Airport
KCOS,COS,Colorado Springs Airport
KCVG,CVG,Cincinnati/Northern Kentucky International Airport
KDEN,DEN,Denver International Airport
KDFW,DFW,Dallas/Fort Worth International Airport
KDTW,DTW,Detroit Metropolitan Wayne County Airport
KDMA,DMA,Davis-Monthan Air Force Base
KDOV,DOV,Dover Air Force Base
KELP,ELP,El Paso International Airport
KEWR,EWR,Newark Liberty International Airport
KFAT,FAT,Fresno Yosemite International Airport
KGEG,GEG,Spokane International Airport
KGRK,GRK,Robert Gray Army Airfield
KGPT,GPT,Gulfport-Biloxi International Airport
KGSO,GSO,Piedmont Triad International Airport
KHRL,HRL,Valley International Airport
KIAH,IAH,George Bush Intercontinental Airport
KIAG,IAG,Niagara Falls International Airport
KILN,ILN,Wilmington Air Park
KIND,IND,Indianapolis International Airport
KJFK,JFK,John F Kennedy International Airport
KLAL,LAL,Lakeland Linder International Airport
KLAX,LAX,Los Angeles International Airport
KLGB,LGB,Long Beach Airport
KMCO,MCO,Orlando International Airport
KMCF,MCF,MacDill Air Force Base
KMDT,MDT,Harrisburg International Airport
KMEM,MEM,Memphis International Airport
KMHR,MHR,Sacramento Mather Airport
KMIA,MIA,Miami International Airport
KMSP,MSP,Minneapolis-Saint Paul International Airport
KNGU,NGU,Naval Station Norfolk Chambers Field
KNZY,NZY,Naval Air Station North Island
KOAK,OAK,Oakland International Airport
KONT,ONT,Ontario International Airport
KORD,ORD,Chicago O'Hare International Airport
KORF,ORF,Norfolk International Airport
KOSC,OSC,Wurtsmith Airport
KPBI,PBI,Palm Beach International Airport
KPDX,PDX,Portland International Airport
KPHL,PHL,Philadelphia International Airport
KPHX,PHX,Phoenix Sky Harbor International Airport
KRFD,RFD,Chicago Rockford International Airport
KRIV,RIV,March Air Reserve Base
KRNO,RNO,Reno-Tahoe International Airport
KSBA,SBA,Santa Barbara Municipal Airport
KSCK,SCK,Stockton Metropolitan Airport
KSEA,SEA,Seattle-Tacoma International Airport
KSDF,SDF,Louisville Muhammad Ali International Airport
KSFO,SFO,San Francisco International Airport
KSMF,SMF,Sacramento International Airport
KSUU,SUU,Travis Air Force Base
KTPA,TPA,Tampa International Airport
KWRI,WRI,McGuire Air Force Base
NSTU,PPG,Pago Pago International Airport
PAEI,EIL,Eielson Air Force Base
PAFA,FAI,Fairbanks International Airport
PANC,ANC,Ted Stevens Anchorage International Airport
PGSN,SPN,Saipan International Airport
PGUM,GUM,Antonio B Won Pat International Airport
PHNL,HNL,Daniel K Inouye International Airport
PHOG,OGG,Kahului Airport
TISX,STX,Henry E Rohlsen Airport
TIST,STT,Cyril E King Airport
TJSJ,SJU,Luis Munoz Marin International Airport